species	cultivar	origin	gbp	specimen	ssid
Malus sylvestris	Wild	Markus?		drMalSylv7	
Malus domestica	Newtons	Woolsthorpe Manor		drMalDome58	
Malus domestica	Bardsey Island Apple	Wisley	0.81	drMalDome11	
Malus domestica	Costard	Kew	0.83	drMalDome5	
Malus domestica	Brown Snout	Wisley	0.82	drMalDome10	
Malus domestica	Early Julyan	RBGE Living Collections		drMalDome37	AppleDay10498813
Malus domestica	Bloody Ploughman	RBGE Living Collections		drMalDome28	AppleDay10498821
Malus domestica	Alderman	RBGE Living Collections		?	
Malus domestica	Lass o Gowrie	RBGE Living Collections		drMalDome29	AppleDay10498820
Malus domestica	Port Allen Russet	RBGE Living Collections		?	
Malus domestica	White Paradise	RBGE Living Collections		?	
Malus domestica	Red Windsor	RBGE Living Collections		drMalDome33	AppleDay10498816
Malus domestica	Bramleys Seedling Clone20	RBGE Living Collections		drMalDome30	AppleDay10498819
Malus domestica	Egremont Russet	RBGE Living Collections		drMalDome38	AppleDay10498812
Malus domestica	Pixie	RBGE Living Collections		drMalDome34	AppleDay10498815
Malus domestica	Discovery	RBGE Living Collections		drMalDome39	AppleDay10498811
Malus domestica	James Grieve	RBGE Living Collections		drMalDome27	AppleDay10498822
Malus domestica	Laxton’s Superb	RBGE Living Collections		drMalDome42	AppleDay10498808
Malus domestica	Newton Wonder	RBGE Living Collections		drMalDome40	AppleDay10498810
Malus domestica	Ellisons Orange	RBGE Living Collections		drMalDome41	AppleDay10498809
Malus domestica	Red Bountiful	RBGE Living Collections		drMalDome35	AppleDay10498814
Malus domestica	Red Falstaff	RBGE Living Collections		drMalDome36	AppleDay10498807
Malus domestica	Scrumptious	RBGE Living Collections		drMalDome44	AppleDay10498805
Malus domestica	Red Devil	RBGE Living Collections		drMalDome43	AppleDay10498806
Malus domestica	Hawthornden	RBGE Living Collections		drMalDome24	AppleDay10498825
Malus domestica	Oslin	RBGE Living Collections		drMalDome21	AppleDay10498827
Malus domestica	Stirling Castle	RBGE Living Collections		drMalDome25	AppleDay10498824
Malus domestica	Scotch Bridget	RBGE Living Collections		drMalDome22	AppleDay10498826
Malus domestica	Tower of Glamis	RBGE Living Collections	1.24	drMalDome23	AppleDay10498792
Malus domestica	East Lothian Pippin	RBGE Living Collections		drMalDome26	AppleDay10498823
Malus domestica	Beauty of Moray	RBGE Living Collections		drMalDome45	AppleDay10498804
Malus domestica	Stobo Castle	RBGE Living Collections		?	
Malus domestica	Cutler Grieve	RBGE Living Collections		drMalDome32	AppleDay10498817
Malus domestica	Hoods Supreme	RBGE Living Collections		?	
Malus domestica	Scotch Dumpling	RBGE Living Collections		drMalDome31	AppleDay10498818
Malus domestica	Coxs Orange Pippin	Kew		?	
Malus domestica	Irish Peach	Kew	0.83	drMalDome2	AppleDay10498793
Malus domestica	Killerton Sweet	Kew	1.22	drMalDome1	AppleDay10498794
Malus domestica	Lord Burghley	Kew	0.81	drMalDome4	AppleDay10498791
Malus domestica	Malus domestica Coxs self	CamBot		drMalDome7	AppleDay10498802
Malus domestica	Malus John Downie	CamBot		drMalDome8	AppleDay10498801
Malus domestica	Malus pumila Flower of Kent	CamBot		drMalDome9	AppleDay10498800
Malus domestica	Robusta 5	East Malling	0.8	drMalRobu1	AppleDay10498830
Malus domestica	Park Farm Pippin	East Malling	0.86	drMalDome20	AppleDay10498828
Malus domestica	Fiesta	East Malling	0.81	drMalDome19	AppleDay10498829
Malus domestica	Decio	East Malling	0.83	drMalDome18	AppleDay10498831
Malus domestica	Ashmead’s Kernel	Wisley	1.23	drMalDome17	AppleDay10498833
Malus domestica	Harvey	Wisley	0.84	drMalDome12	AppleDay10498834
Malus domestica	Kingston Black	Wisley	0.84	drMalDome14	AppleDay10498837
Malus domestica	Breakwells Seedling	Wisley	0.81	drMalDome13	AppleDay10498832
Malus domestica	Worcester Pearmain	Wisley	0.83	drMalDome16	AppleDay10498835
Malus domestica	Blenheim Orange	Wisley	1.23	drMalDome15	AppleDay10498836
Malus domestica	Sangers Newton	Sanger	1.32	drMalDome6	AppleDay10498803
Malus domestica	Trinitys Newton	Trinity College Cambridge		drMalDome57	AppleDay10498838
Malus sylvestris				drMalSylv6	AppleDay10498795
Malus sylvestris				drMalSylv5	AppleDay10498796
Malus sylvestris				drMalSylv4	AppleDay10498797
Malus sylvestris				drMalSylv3	AppleDay10498798
Malus sylvestris				drMalSylv1	AppleDay10498799
Malus sylvestris				drMalSylv80	AppleDay10498839
Malus sylvestris				drMalSylv82	AppleDay10498840
Malus sylvestris				drMalSylv83	AppleDay10498841
Malus sylvestris				drMalSylv84	AppleDay10498842
Malus sylvestris				drMalSylv85	AppleDay10498843
