source	specimen	kmer	haploid	repeat	het
illumina	drMalSylv5	31	666435564	44.22	1.87
illumina	drMalSylv5	21	670470123	53.20	2.10
illumina	drMalSylv5	31	667954544	45.79	1.87
illumina	drMalSylv85	31	679022930	42.29	0.88
illumina	drMalSylv85	21	691207378	52.88	0.94
illumina	drMalSylv85	31	680592295	42.66	0.90
illumina	drMalSylv3	31	698139673	44.05	0.78
illumina	drMalSylv3	21	706305909	54.36	0.85
illumina	drMalSylv3	31	697910436	43.84	0.78
illumina	drMalSylv83	31	729894860	46.01	0.95
illumina	drMalSylv83	21	747987880	56.03	0.99
illumina	drMalSylv83	31	731779436	46.77	0.98
illumina	drMalSylv6	31	709726668	44.36	0.77
illumina	drMalSylv6	21	714792278	54.57	0.84
illumina	drMalSylv6	31	709850525	44.47	0.78
illumina	drMalSylv84	31	682640271	42.08	0.97
illumina	drMalSylv84	21	698114060	52.70	1.03
illumina	drMalSylv84	31	683495423	43.09	0.99
illumina	drMalSylv1	31	685645693	43.84	0.98
illumina	drMalSylv1	21	696819227	53.94	1.09
illumina	drMalSylv1	31	685642380	44.55	0.99
hic-arima2	drMalSylv7	31	1051940249	70.55	0.32
10x	drMalSylv7	31	753929234	47.41	0.94
10x	drMalSylv7	21	769337654	57.57	1.03
10x	drMalSylv7	31	760139296	48.32	0.96
pacbio	drMalSylv7	31	717582920	44.88	0.88
pacbio	drMalSylv7	21	717130205	54.96	0.97
pacbio	drMalSylv7	31	713175580	45.55	0.97
illumina	drMalSylv82	31	1428122808	81.12	-0.27
illumina	drMalSylv82	21	747477646	53.78	0.87
illumina	drMalSylv82	31	714721555	45.00	1.07
illumina	drMalSylv4	31	698315473	44.41	1.03
illumina	drMalSylv4	21	706865018	54.54	1.13
illumina	drMalSylv4	31	699389679	44.75	1.04
illumina	drMalSylv80	31	676926733	42.63	1.02
illumina	drMalSylv80	21	681553506	53.08	1.11
illumina	drMalSylv80	31	675823235	42.65	1.02
