
Histogram of unique 21-mers of sanger_newton_drMalDome6.R1

  Input: 5,040,376,329 unique 21-mers

     Freq:        Count   Cum. %
 >=  1000:      5296389     0.1%
      999:         5618     0.1%
      998:         5469     0.1%
      997:         5544     0.1%
      996:         5549     0.1%
      995:         5592     0.1%
      994:         5717     0.1%
      993:         5690     0.1%
      992:         5579     0.1%
      991:         5759     0.1%
      990:         5724     0.1%
      989:         5729     0.1%
      988:         5866     0.1%
      987:         5745     0.1%
      986:         5972     0.1%
      985:         5874     0.1%
      984:         5823     0.1%
      983:         5907     0.1%
      982:         5891     0.1%
      981:         5936     0.1%
      980:         5856     0.1%
      979:         5904     0.1%
      978:         6063     0.1%
      977:         5892     0.1%
      976:         6076     0.1%
      975:         5969     0.1%
      974:         6061     0.1%
      973:         6071     0.1%
      972:         5869     0.1%
      971:         6076     0.1%
      970:         6040     0.1%
      969:         6064     0.1%
      968:         5992     0.1%
      967:         6098     0.1%
      966:         5972     0.1%
      965:         6119     0.1%
      964:         6093     0.1%
      963:         6010     0.1%
      962:         6136     0.1%
      961:         6111     0.1%
      960:         6095     0.1%
      959:         5949     0.1%
      958:         5979     0.1%
      957:         6152     0.1%
      956:         6095     0.1%
      955:         6091     0.1%
      954:         6131     0.1%
      953:         6223     0.1%
      952:         6187     0.1%
      951:         6196     0.1%
      950:         6151     0.1%
      949:         6126     0.1%
      948:         6241     0.1%
      947:         6472     0.1%
      946:         6441     0.1%
      945:         6380     0.1%
      944:         6481     0.1%
      943:         6423     0.1%
      942:         6418     0.1%
      941:         6590     0.1%
      940:         6314     0.1%
      939:         6558     0.1%
      938:         6406     0.1%
      937:         6481     0.1%
      936:         6528     0.1%
      935:         6630     0.1%
      934:         6428     0.1%
      933:         6490     0.1%
      932:         6588     0.1%
      931:         6560     0.1%
      930:         6476     0.1%
      929:         6642     0.1%
      928:         6688     0.1%
      927:         6751     0.1%
      926:         6655     0.1%
      925:         6671     0.1%
      924:         6680     0.1%
      923:         6786     0.1%
      922:         6840     0.1%
      921:         6813     0.1%
      920:         6921     0.1%
      919:         6830     0.1%
      918:         6895     0.1%
      917:         6960     0.1%
      916:         6908     0.1%
      915:         6967     0.1%
      914:         6907     0.1%
      913:         6916     0.1%
      912:         6933     0.1%
      911:         6858     0.1%
      910:         7064     0.1%
      909:         7012     0.1%
      908:         7107     0.1%
      907:         6974     0.1%
      906:         7124     0.1%
      905:         6915     0.1%
      904:         7185     0.1%
      903:         6958     0.1%
      902:         7050     0.1%
