Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
3022														""				
A.D.W. Atkins	Raised by Mr A.D.W. Atkins, Exmouth, Devon in about 1971. Fruits retain a good flavour when cooked.		Material available from the National Fruit Collection.	Flat	large	51.69	71.02	weak	Green	Red			White	26th April10% flowering, 29th AprilFull (80%) flowering, 7th May90% petal fall	Late September	very low	very weak	coarse
Abbondanza	An Italian variety which was selected in 1896. Fruits have firm, cream flesh with a very strong vinous flavour.	Belfort	Material available from the National Fruit Collection.	Broad globose conical	medium	47.00	55.00	weak	Green yellow	Orange	striped		Cream	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid October	very low		fine
Abbott's Early and Abbot's Early	Availability		Material available from the National Fruit Collection.	Globose conical	medium			weak-medium	Whitish yellow	Red				""		very low	absent	
Abondance	Thought to be of French origin. Received by the National Fruit Trials in 1947. Fruits have a rather coarse, dry, white flesh which soon discolours. Flavour is sweet to subacid.		Material available from the National Fruit Collection.	Truncate conical	large	65.50	72.50	medium	Yellow	Orange	striped		White	8th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Early October			coarse
Acklam Russet	Originated at Acklam, Yorkshire. Recorded in 1768. Fruits have a firm, greenish-white flesh with a sweet to subacid flavour.	Acklam's Russet, Aclam Russet, Aclam's Russet, Aclemy Russet, Wheeler's Russet	Material available from the National Fruit Collection.	Flat	medium	55.23	68.98	weak-medium	Green	n/a			White	4th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Mid October	high-very high	weak	
Acme	Raised in 1944 at Boreham, Essex by W. Seabrook & Sons Ltd. Fruits have firm, cream flesh with a slightly perfumed flavour.		Material available from the National Fruit Collection.	Broad globose conical	large	62.00	72.00		Yellow	Pink	striped		Cream	2nd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Mid September	very low		
Adam's Pearmain (LA 73A)	Brought to notice in 1826 and introduced and exhibited by R. Adams from Herefordshire. A popular Edwardian and Victorian dessert apple. Fruits are juicy and a little sweet, with a pleasant aromatic flavour.	Adam's Parmane, Adam's Pearmain, Adams Parmain, Adams Parman, Adams Parmane, Adams', Adams' Parmaene, Adams' Parmain, Adams' Parmane, Adams's Parmane, Adams's Reinett, Adamsapfel, Adamsova parména, Adamsovo, Adamsparman, Hanging Pearmain, Lady's Finger, Matchless, Moriker, Norfolk Pippin, Norfolk Russet, Norfolk-Adams Parmaene, Parmain d'Adam, Parmaine d'Adams, Parmen Adams, Parmen Adamsa, Pearmain d'Adam, Pearmain d'Adams, Pepin de Norfolk, Pepin du Norfolk, Pippin Golden Hagvey, Rough Pippin, Rousse de Norfolk, Rousse du Norfolk, Russet aus Norfolk, Winter Striper Pearmain	Material available from the National Fruit Collection.	Truncate conical	medium	65.00	70.00	weak-medium	Green yellow	Orange	streaked	crisp	Cream	2nd May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	Early October	low-medium		fine
Adamsapfel Ostpreussischer	A German variety received by the National Fruit Trials in 1951. Fruits are described as being sweet, crisp and very juicy.		Material available from the National Fruit Collection.	Globose conical	large			weak-medium	Green yellow	Red			Yellowish	10th May10% flowering, 15th MayFull (80%) flowering, 21st May90% petal fall	Late September	low	medium	
Adersleber Calville	A German variety raised in about 1870 at Adersleben, Saxony by Lichtard. Fruits have firm, fine, white flesh with a subacid, sweet flavour.	Aderslebener Calville, Aderslebener Kalvill, Aderslebener Kalvill-Samling, Adersleber Calvil, Adersleber Calvill, Adersleber Kalvil, Adersleber Kalvill, Calville d'Adersleben, Kalvil Aderslebenskii, Kalvil Aderslebensky	Material available from the National Fruit Collection.	Truncate conical	large	60.00	85.00	strong	Green yellow	Pink			White	3rd May10% flowering, 8th MayFull (80%) flowering, 14th May90% petal fall	Mid September	very low		fine
Admiral	Raised at Upton, Norfolk by A.K. Watson in about 1921. Introduced by Watson in about 1937. Fruits have soft, coarse flesh with a sweet flavour.	Togo of Upton	Material available from the National Fruit Collection.	Flat globose	medium	60.00	70.00	absent	Green yellow	Orange	striped		Greenish	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Early October	low		coarse
Advance (M146)	Raised at Bedford by Laxton Bros. Ltd., in 1908 and introduced by them in 1929. Received the Award of Merit from the Royal Horticultural Society in 1932. Fruits have soft, fine flesh with a sweet, subacid, aromatic flavour. Trees tend to be prone to mildew and canker.	Laxton's Advance	Material available from the National Fruit Collection.	Truncate conical	medium	50.00	65.00		Green yellow	Brown	striped		Greenish	4th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Early August	very low		fine
Aivaniya	Availability		Material available from the National Fruit Collection.	Globose conical	small-medium			weak-medium	Green yellow	Orange		crisp	White	9th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Mid October	very low	weak-medium	fine
Akane	Raised in 1937 at Morioka Experimental Station, Japan. Introduced in 1970. Fruits are sweet, crisp and juicy with a pleasant flavour.	Prime Red, Primerouge, Tohoku, Tohoku No.3, Tokyo Rose	Material available from the National Fruit Collection.											8th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	mid august			
Akero	Thought to have originated in Sweden. Known in the mid 1700s and brought to notice by pomologist Eneroth in about 1850. Fruits have firm, coarse flesh with a sweet to subacid aromatic flavour.	Aakero, Akera, Akero galsaplple, Akero-apple, AkeroaebleAkeroapfel, Akeroaple, Akeroglasaplen, Apfel von Akero, Okera, Okere, Schmidt's Junkerapfel, Schmidts Junkerapfel	Material available from the National Fruit Collection.	Truncate conical	medium-large			weak-medium	Whitish yellow	Red			Yellowish	1st May10% flowering, 7th MayFull (80%) flowering, 13th May90% petal fall	Late August	very low		
Alastair Cannon-White	Availability		Material available from the National Fruit Collection.	Flat globose	large			weak-medium	Whitish yellow	Red			White	6th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Early September	low	weak-medium	
Aldenham Blenheim	Triploid. Believed to be a coloured sport of Blenheim Orange. It was discovered before 1929 at Aldenham House, Hertfordshire by Edwin Beckett. Fruits have creamy white, somewhat coarse-textured, rather dry flesh with a rich, characteristic aromatic flavour. Cooks well.	Aldenheim Blenheim	Material available from the National Fruit Collection.											4th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Late September			
Alderman	Thought to have originated in Scotland before 1923. Fruits have firm flesh with an acid flavour. Cooks well.		Material available from the National Fruit Collection.	Truncate conical	large	75.00	75.00	weak	Green yellow	Orange			White	3rd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Early September			
Aldwick Beauty	A seedling which arose in the garden of Mrs D.M. Alford, Aldwick, Bognor Regis, Sussex. Received by the National Fruit Trials in 1969. Fruits are sweet but tend to be rather dry.		Material available from the National Fruit Collection.											11th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	mid august			
