# BUSCO version is: 5.0.0 
# The lineage dataset is:  (Creation date: 2020-09-10, number of species: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2at71240	Complete	SUPER_5	2135796	2169665	-	5204.9	4153
10at71240	Duplicated	SUPER_17	5744074	5763705	+	7137.8	3998
10at71240	Duplicated	SUPER_9	4854034	4872567	+	7140.9	4021
17at71240	Complete	SUPER_16	312313	329834	-	6666.0	3903
86at71240	Complete	SUPER_10	11968885	11985541	-	5455.3	3167
204at71240	Complete	SUPER_12	30987933	31008319	-	3948.1	2218
224at71240	Complete	SUPER_1	16953409	16966552	-	2824.5	1894
265at71240	Complete	SUPER_17	16029701	16040614	-	2735.3	1597
312at71240	Complete	SUPER_15	7850631	7869472	+	3481.6	2004
355at71240	Duplicated	SUPER_2	3251145	3263980	-	4145.6	2126
355at71240	Duplicated	SUPER_15	14264603	14277498	-	4273.7	2160
368at71240	Duplicated	SUPER_12	422363	441081	+	2685.6	1690
368at71240	Duplicated	SUPER_14	281416	299854	+	2748.6	1677
383at71240	Duplicated	SUPER_17	3877147	3884235	+	2621.3	1679
383at71240	Duplicated	SUPER_9	3190628	3197788	+	2630.5	1677
491at71240	Complete	SUPER_7	30928899	30942658	+	2185.1	1703
526at71240	Complete	SUPER_12	9257340	9278059	-	2645.4	1585
561at71240	Duplicated	SUPER_3	61447	87925	+	2832.3	1627
561at71240	Duplicated	SUPER_11	1770	24524	-	2867.5	1640
597at71240	Complete	SUPER_1	18626360	18635481	-	2883.7	1523
640at71240	Complete	SUPER_2	2396368	2411056	-	2693.7	1614
703at71240	Complete	SUPER_10	32766094	32778613	-	2682.8	1560
707at71240	Duplicated	SUPER_5	36194341	36215138	+	2950.2	1526
707at71240	Duplicated	SUPER_10	32952932	32967711	+	3024.9	1526
727at71240	Complete	SUPER_17	1780402	1803022	-	2500.4	1593
745at71240	Complete	SUPER_12	5619201	5638159	-	2685.3	1627
769at71240	Complete	SUPER_8	10647969	10670146	-	2812.7	1593
779at71240	Complete	SUPER_8	9251342	9260345	-	2044.4	1319
793at71240	Duplicated	SUPER_14	3939125	3961448	-	2528.7	1821
793at71240	Duplicated	SUPER_12	4402633	4418298	-	2545.3	1819
836at71240	Duplicated	SUPER_8	21084183	21094022	+	1737.6	1649
836at71240	Duplicated	SUPER_15	44417556	44427403	+	1807.2	1720
851at71240	Duplicated	SUPER_9	4156998	4168582	-	2305.3	1397
851at71240	Duplicated	SUPER_17	4877576	4889029	-	2379.9	1374
906at71240	Complete	SUPER_7	26687770	26697246	-	1579.0	1426
916at71240	Complete	SUPER_11	38724864	38736392	-	2957.2	1657
933at71240	Duplicated	SUPER_15	53164887	53191972	-	2278.4	1332
933at71240	Duplicated	SUPER_8	29940782	29967711	-	2278.8	1318
945at71240	Duplicated	SUPER_11	3586903	3598743	-	2589.4	1529
945at71240	Duplicated	SUPER_3	3164151	3184374	-	2731.7	1553
1064at71240	Complete	SUPER_9	31975370	31994738	-	2361.1	1577
1065at71240	Duplicated	SUPER_10	13672540	13682207	+	1867.5	1364
1065at71240	Duplicated	SUPER_5	17458713	17468376	+	1876.3	1319
1115at71240	Duplicated	SUPER_6	15536612	15551693	-	2296.5	1566
1115at71240	Duplicated	SUPER_14	16319316	16334260	-	2350.2	1538
1147at71240	Complete	SUPER_4	6331889	6358772	+	1774.7	1137
1158at71240	Complete	SUPER_3	4630573	4640296	-	2260.1	1487
1159at71240	Complete	SUPER_5	24229551	24239119	+	1716.3	1453
1162at71240	Duplicated	SUPER_4	29417326	29425154	-	2587.9	1467
1162at71240	Duplicated	SUPER_12	30280996	30288471	-	2592.7	1470
1185at71240	Complete	SUPER_1	24910568	24919498	-	1939.8	1271
1212at71240	Complete	SUPER_4	29045894	29061332	-	2395.3	1382
1291at71240	Complete	SUPER_16	3718939	3735688	+	2129.1	1321
1308at71240	Duplicated	SUPER_2	35565032	35576280	-	2465.3	1206
1308at71240	Duplicated	SUPER_7	2515128	2524283	+	2479.9	1207
1357at71240	Complete	SUPER_7	22807340	22816931	+	2163.4	1349
1506at71240	Duplicated	SUPER_7	5212756	5220156	+	2225.0	1176
1506at71240	Duplicated	SUPER_2	32173210	32180726	-	2365.6	1217
1526at71240	Duplicated	SUPER_5	37806408	37815647	-	2204.1	1188
